province,district_name,constituency,party,votes,winner,election_year
Koshi,Taplejung,1,CPN-UML,21943,True,2079
Koshi,Taplejung,1,CPN-Maoist Centre,21735,False,2079
Koshi,Taplejung,1,Federal Democratic National Forum,941,False,2079
Koshi,Taplejung,1,Janata Samajwadi Party Nepal,628,False,2079
Koshi,Taplejung,1,Rastriya Prajatantra Party,406,False,2079
Koshi,Taplejung,1,राष्ट्रिय जनमुक्ति पार्टी,266,False,2079
Koshi,Taplejung,1,Independent,192,False,2079
Koshi,Taplejung,1,मंगोल नेशनल अर्गनाइजेसन,134,False,2079
Koshi,Taplejung,1,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",61,False,2079
Koshi,Taplejung,1,Janata Samajwadi Party Nepal,56,False,2079
Koshi,Taplejung,1,Independent,29,False,2079
Koshi,Pachthar,1,CPN-UML,32135,True,2079
Koshi,Pachthar,1,Nepali Congress,32089,False,2079
Koshi,Pachthar,1,Rastriya Prajatantra Party,1578,False,2079
Koshi,Pachthar,1,Janata Samajwadi Party Nepal,1274,False,2079
Koshi,Pachthar,1,Federal Democratic National Forum,1011,False,2079
Koshi,Pachthar,1,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी लेनिनवादी),816,False,2079
Koshi,Pachthar,1,Rastriya Swatantra Party,526,False,2079
Koshi,Pachthar,1,मंगोल नेशनल अर्गनाइजेसन,522,False,2079
Koshi,Pachthar,1,राष्ट्रिय जनमुक्ति पार्टी,302,False,2079
Koshi,Pachthar,1,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,253,False,2079
Koshi,Pachthar,1,Independent,108,False,2079
Koshi,Pachthar,1,Independent,86,False,2079
Koshi,Pachthar,1,Janata Samajwadi Party Nepal,39,False,2079
Koshi,Pachthar,1,Independent,35,False,2079
Koshi,Pachthar,1,Independent,17,False,2079
Koshi,Illam,1,CPN-UML,25753,True,2079
Koshi,Illam,1,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी),23089,False,2079
Koshi,Illam,1,मंगोल नेशनल अर्गनाइजेसन,2442,False,2079
Koshi,Illam,1,Rastriya Prajatantra Party,1599,False,2079
Koshi,Illam,1,Janata Samajwadi Party Nepal,1313,False,2079
Koshi,Illam,1,Independent,1184,False,2079
Koshi,Illam,1,Independent,640,False,2079
Koshi,Illam,1,नेपाली कांग्रेस (बी.पी.),347,False,2079
Koshi,Illam,1,राष्ट्रिय जनमुक्ति पार्टी,265,False,2079
Koshi,Illam,1,Independent,235,False,2079
Koshi,Illam,1,Federal Democratic National Forum,151,False,2079
Koshi,Illam,2,CPN-UML,30020,True,2079
Koshi,Illam,2,Nepali Congress,29906,False,2079
Koshi,Illam,2,Rastriya Swatantra Party,1380,False,2079
Koshi,Illam,2,मंगोल नेशनल अर्गनाइजेसन,1363,False,2079
Koshi,Illam,2,राष्ट्रिय जनमुक्ति पार्टी,1272,False,2079
Koshi,Illam,2,Janata Samajwadi Party Nepal,724,False,2079
Koshi,Illam,2,Federal Democratic National Forum,684,False,2079
Koshi,Illam,2,Rastriya Prajatantra Party,510,False,2079
Koshi,Illam,2,Independent,91,False,2079
Koshi,Illam,2,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",69,False,2079
Koshi,Illam,2,नेपाली कांग्रेस (बी.पी.),54,False,2079
Koshi,Illam,2,नेपाल कम्युनिष्ट पार्टी,48,False,2079
Koshi,Illam,2,सामाजिक लोकतान्त्रिक पार्टी,45,False,2079
Koshi,Illam,2,Independent,19,False,2079
Koshi,Jhapa,1,Nepali Congress,39624,True,2079
Koshi,Jhapa,1,CPN-UML,25349,False,2079
Koshi,Jhapa,1,Rastriya Swatantra Party,8564,False,2079
Koshi,Jhapa,1,मंगोल नेशनल अर्गनाइजेसन,1577,False,2079
Koshi,Jhapa,1,Federal Democratic National Forum,386,False,2079
Koshi,Jhapa,1,Janata Samajwadi Party Nepal,363,False,2079
Koshi,Jhapa,1,हाम्रो नेपाली पार्टी,331,False,2079
Koshi,Jhapa,1,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",304,False,2079
Koshi,Jhapa,1,नेपालका लागि नेपाली पार्टी,209,False,2079
Koshi,Jhapa,1,Independent,126,False,2079
Koshi,Jhapa,1,Independent,103,False,2079
Koshi,Jhapa,1,राष्ट्रिय जनमुक्ति पार्टी,48,False,2079
Koshi,Jhapa,1,Janata Samajwadi Party Nepal,46,False,2079
Koshi,Jhapa,1,नेपाल जनता पार्टी,27,False,2079
Koshi,Jhapa,1,Independent,14,False,2079
Koshi,Jhapa,2,CPN-UML,28716,True,2079
Koshi,Jhapa,2,Independent,26455,False,2079
Koshi,Jhapa,2,CPN-Maoist Centre,13930,False,2079
Koshi,Jhapa,2,Rastriya Swatantra Party,8781,False,2079
Koshi,Jhapa,2,Federal Democratic National Forum,762,False,2079
Koshi,Jhapa,2,मंगोल नेशनल अर्गनाइजेसन,684,False,2079
Koshi,Jhapa,2,नेपाली कांग्रेस (बी.पी.),446,False,2079
Koshi,Jhapa,2,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",428,False,2079
Koshi,Jhapa,2,राष्ट्रिय जनमुक्ति पार्टी,288,False,2079
Koshi,Jhapa,2,Independent,283,False,2079
Koshi,Jhapa,2,नेपाल विवेकशील पार्टी,252,False,2079
Koshi,Jhapa,2,Independent,244,False,2079
Koshi,Jhapa,2,Janata Samajwadi Party Nepal,133,False,2079
Koshi,Jhapa,2,नेपालका लागि नेपाली पार्टी,106,False,2079
Koshi,Jhapa,2,Janata Samajwadi Party Nepal,99,False,2079
Koshi,Jhapa,2,Independent,80,False,2079
Koshi,Jhapa,2,Independent,20,False,2079
Koshi,Jhapa,2,नेपाल मजदुर किसान पार्टी,14,False,2079
Koshi,Jhapa,3,Rastriya Prajatantra Party,40662,True,2079
Koshi,Jhapa,3,Nepali Congress,37386,False,2079
Koshi,Jhapa,3,Rastriya Swatantra Party,3461,False,2079
Koshi,Jhapa,3,Independent,735,False,2079
Koshi,Jhapa,3,मंगोल नेशनल अर्गनाइजेसन,650,False,2079
Koshi,Jhapa,3,Janata Samajwadi Party Nepal,464,False,2079
Koshi,Jhapa,3,हाम्रो नेपाली पार्टी,374,False,2079
Koshi,Jhapa,3,Independent,294,False,2079
Koshi,Jhapa,3,जनमत पार्टी,194,False,2079
Koshi,Jhapa,3,Federal Democratic National Forum,113,False,2079
Koshi,Jhapa,3,सचेत नेपाली पार्टी(एकल चुनाव चिन्ह),107,False,2079
Koshi,Jhapa,3,Independent,82,False,2079
Koshi,Jhapa,3,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",70,False,2079
Koshi,Jhapa,3,राष्ट्रिय जनमुक्ति पार्टी,61,False,2079
Koshi,Jhapa,3,नेपाली कांग्रेस (बी.पी.),59,False,2079
Koshi,Jhapa,3,नेपाल मजदुर किसान पार्टी,35,False,2079
Koshi,Jhapa,3,मौलिक जरोकिलो पार्टी,35,False,2079
Koshi,Jhapa,3,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,26,False,2079
Koshi,Jhapa,4,CPN-UML,29315,True,2079
Koshi,Jhapa,4,Nepali Congress,22448,False,2079
Koshi,Jhapa,4,Rastriya Swatantra Party,14069,False,2079
Koshi,Jhapa,4,Independent,5010,False,2079
Koshi,Jhapa,4,हाम्रो नेपाली पार्टी,917,False,2079
Koshi,Jhapa,4,Independent,810,False,2079
Koshi,Jhapa,4,Federal Democratic National Forum,706,False,2079
