province,candidate,votes,winner,district_name,constituency,party,election_year
Koshi,Birendra Shrestha,4155,False,Taplejung,1,RSP,2082
Koshi,Mahendra Bikram Thamsuhang,4197,False,Panchthar,1,RSP,2082
Koshi,Bimal Gadal,9160,False,Illam,1,RSP,2082
Koshi,Gokul Bahadur Rai,7814,False,Illam,2,RSP,2082
Koshi,Nisha Dangi,45680,True,Jhapa,1,RSP,2082
Koshi,Indira Rana Magar,60110,True,Jhapa,2,RSP,2082
Koshi,Prakash Pathak,38674,True,Jhapa,3,RSP,2082
Koshi,Shambhu Prasad Dhakal,43631,True,Jhapa,4,RSP,2082
Koshi,Balendra Shah,68348,True,Jhapa,5,RSP,2082
Koshi,Yagnmani Neupane,27367,True,Morang,1,RSP,2082
Koshi,Krishna Kumar Karki,40924,True,Morang,2,RSP,2082
Koshi,Ganesh Karki,36924,True,Morang,3,RSP,2082
Koshi,Santosh Rajbanshi,40833,True,Morang,4,RSP,2082
Koshi,Aasha Jha,30434,True,Morang,5,RSP,2082
Koshi,Rubina Acharya,55513,True,Morang,6,RSP,2082
Koshi,Goma Tamang,27249,False,Sunsari,1,RSP,2082
Koshi,Lal Bikram Thapa,57348,True,Sunsari,2,RSP,2082
Koshi,Ashok Kumar Chaudhary,47421,True,Sunsari,3,RSP,2082
Koshi,Deepak Kumar Sah,42771,True,Sunsari,4,RSP,2082
Koshi,Dinesh Bhandari,9944,False,Dhankuta,1,RSP,2082
Koshi,Mingma Sherpa,15000,False,Sankhuwasabha,1,RSP,2082
Koshi,Ramesh Prashad Ojha,6102,False,Bhojpur,1,RSP,2082
Koshi,Surendra Karki,7737,False,Terhathum,1,RSP,2082
Koshi,Bishwaraj Pokharel,13953,True,Okhaldhunga,1,RSP,2082
Koshi,Rudra Giri,5704,False,Khotang,1,RSP,2082
Koshi,Rishi Dhan Thulung Rai,3642,False,Solukhumbu,1,RSP,2082
Koshi,Paras Mani Gelal,30590,True,Udayapur,1,RSP,2082
Koshi,Surya Bahadur Tamang,14802,True,Udayapur,2,RSP,2082
Madhesh,Pushpa Kumari Chaudhary,38195,True,Saptari,1,RSP,2082
Madhesh,Ramji Yadav,28404,True,Saptari,2,RSP,2082
Madhesh,Amar Kant Chaudhary,32875,True,Saptari,3,RSP,2082
Madhesh,Sitaram Sah,36412,True,Saptari,4,RSP,2082
Madhesh,Bablu Gupta,41322,True,Siraha,1,RSP,2082
Madhesh,Shiva Shankar Yadav,39561,True,Siraha,2,RSP,2082
Madhesh,Shambhu Kumar Yadav,32249,True,Siraha,3,RSP,2082
Madhesh,Tapeshowr Yadav,36210,True,Siraha,4,RSP,2082
Madhesh,Kishori Sah Kamal,0,False,Dhanusha,1,RSP,2082
