province,candidate,votes,winner,district_name,constituency,party
Koshi,Birendra Shrestha,4155,False,Taplejung,1,RSP
Koshi,Mahendra Bikram Thamsuhang,4197,False,Panchthar,1,RSP
Koshi,Bimal Gadal,9160,False,Illam,1,RSP
Koshi,Gokul Bahadur Rai,7814,False,Illam,2,RSP
Koshi,Nisha Dangi,45680,True,Jhapa,1,RSP
Koshi,Indira Rana Magar,60110,True,Jhapa,2,RSP
Koshi,Prakash Pathak,38674,True,Jhapa,3,RSP
Koshi,Shambhu Prasad Dhakal,43631,True,Jhapa,4,RSP
Koshi,Balendra Shah,68348,True,Jhapa,5,RSP
Koshi,Yagnmani Neupane,27367,True,Morang,1,RSP
Koshi,Krishna Kumar Karki,40924,True,Morang,2,RSP
Koshi,Ganesh Karki,36924,True,Morang,3,RSP
Koshi,Santosh Rajbanshi,40833,True,Morang,4,RSP
Koshi,Aasha Jha,30434,True,Morang,5,RSP
Koshi,Rubina Acharya,55513,True,Morang,6,RSP
Koshi,Goma Tamang,27249,False,Sunsari,1,RSP
Koshi,Lal Bikram Thapa,57348,True,Sunsari,2,RSP
Koshi,Ashok Kumar Chaudhary,47421,True,Sunsari,3,RSP
Koshi,Deepak Kumar Sah,42771,True,Sunsari,4,RSP
Koshi,Dinesh Bhandari,9944,False,Dhankuta,1,RSP
Koshi,Mingma Sherpa,15000,False,Sankhuwasabha,1,RSP
Koshi,Ramesh Prashad Ojha,6102,False,Bhojpur,1,RSP
Koshi,Surendra Karki,7737,False,Terhathum,1,RSP
Koshi,Bishwaraj Pokharel,13953,True,Okhaldhunga,1,RSP
Koshi,Rudra Giri,5704,False,Khotang,1,RSP
Koshi,Rishi Dhan Thulung Rai,3642,False,Solukhumbu,1,RSP
Koshi,Paras Mani Gelal,30590,True,Udayapur,1,RSP
Koshi,Surya Bahadur Tamang,14802,True,Udayapur,2,RSP
Madhesh,Pushpa Kumari Chaudhary,38195,True,Saptari,1,RSP
Madhesh,Ramji Yadav,28404,True,Saptari,2,RSP
Madhesh,Amar Kant Chaudhary,32875,True,Saptari,3,RSP
Madhesh,Sitaram Sah,36412,True,Saptari,4,RSP
Madhesh,Bablu Gupta,41322,True,Siraha,1,RSP
Madhesh,Shiva Shankar Yadav,39561,True,Siraha,2,RSP
Madhesh,Shambhu Kumar Yadav,32249,True,Siraha,3,RSP
Madhesh,Tapeshowr Yadav,36210,True,Siraha,4,RSP
